Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,6,9,11,12,2,6,5,8,1,7,10,4,3,Female,White,Weld,    Neurobiology,Yes
I am currently a freshman at Harvard.,5,5,11,9,7,6,12,4,2,8,10,3,1,Female,Asian,Weld,"Applied Mathematics,Economics",No
I am currently a freshman at Harvard.,5,6,10,11,5,3,8,7,2,9,12,4,1,Male,Asian,Weld,"Computer Science,Economics",No
I am currently a freshman at Harvard.,5,9,12,11,2,7,8,5,1,6,10,3,4,Female,White,Weld,    Neurobiology,Yes
I am currently a freshman at Harvard.,8,6,11,12,7,3,8,5,1,9,10,4,2,Female,Other,Weld,Government,No
I am currently a freshman at Harvard.,6,4,11,10,3,7,1,6,5,9,12,8,2,Male,White,Wigglesworth,    Psychology,No
I am currently a freshman at Harvard.,8,1,12,11,6,8,9,7,4,5,10,3,2,Female,Asian,Canaday,"Uncertain,Special Concentration",No
I am currently a freshman at Harvard.,7,8,12,11,3,6,7,4,2,5,10,9,1,Female,White,Weld,Economics,Yes
I am currently a freshman at Harvard.,2,2,9,8,4,7,5,11,1,12,10,6,3,Female,Hispanic or Latino,Greenough,Government,No
I am currently a freshman at Harvard.,6,8,11,12,4,2,3,6,1,9,10,7,5,Female,White,Weld,Government,Yes
I am currently a freshman at Harvard.,8,2,11,8,9,6,7,5,1,12,10,4,3,Male,Asian,Greenough,"Computer Science,    Mathematics,    Physics",No
I am currently a freshman at Harvard.,8,6,11,10,2,5,9,4,3,7,12,8,1,Male,White,Wigglesworth,Government,Yes
I am currently a freshman at Harvard.,8,7,10,12,6,3,1,8,2,9,11,4,5,Female,White,Wigglesworth,Environmental Science and Engineering,No
I am currently a freshman at Harvard.,5,4,12,10,6,7,8,3,1,9,11,5,2,Male,Asian,Weld,Economics,No
I am currently a freshman at Harvard.,1,2,9,10,5,8,12,4,6,1,11,3,7,Male,White,Canaday,Economics,No
I am currently a freshman at Harvard.,4,1,8,10,6,5,7,12,2,9,11,4,3,Female,White,Canaday,Uncertain,No
I am currently a freshman at Harvard.,8,2,10,11,4,7,9,6,1,8,12,3,5,Male,White,Weld,Uncertain,No
I am currently a freshman at Harvard.,8,3,11,12,9,2,5,6,1,8,10,7,4,Male,White,Wigglesworth,Applied Mathematics,No
